INDICATOR,Q1 09,,Q2 09,Q3 09,Q4 09
Downtown Commercial Vacancy Rates ,8.10,0.08,8.70,9.90,9.60
Hotel Occupancy Rates*,68.61,0.69,84.22,87.80,86.00
Operation Scorecard - Percentage of Acceptably Clean Streets   ,98.80,0.99,97.50,97.80,99.40
Operation Scorecard - Percentage of Acceptably Clean Sidewalks ,98.20,0.98,99.40,100.00,100.00
Visitors to Downtown Attractions*,704461.00,7044.61,2272824.00,2650642.00,1228309.00
Average # of Homeless Individuals Encountered in Weekly 1 Hour ,2.18,0.02,4.47,2.43,3.33
Public Contacts,164273.00,1642.73,198670.00,217154.00,141836.00
Tons of Litter Collected,341.70,3.42,386.90,404.00,407.80
Daily Average - Crimes Against Person,0.24,0.00,0.20,0.16,0.20
Daily Average - Crimes Against Property,1.71,0.02,1.64,1.45,2.05
Kiosk Information Booth Contacts - City Hall,114150.00,1141.50,112265.00,118606.00,75163.00
Kiosk Information Booth Contacts - WTC Site,125388.00,1253.88,166345.00,199465.00,176970.00
Kiosk Information Booth Contacts - WFC Site,67800.00,678.00,94137.00,115926.00,109531.00
Alliance Website Visits,186602.00,1866.02,77272.00,70197.00,158677.00
Website Visits to Mr. Office Space,272.00,2.72,104.00,160.00,102.00
Downtown Connection Ridership ,198059.00,1980.59,218660.00,201174.00,216626.00
Average Weekday Subway Ridership,299350.00,2993.50,318246.00,312145.00,314796.00
Commercial Leasing Activity Measured in Square Feet,920395.00,9203.95,482518.00,1025570.00,862583.00
Total Residential Housing Unit Inventory - South of Chambers (Cumulative),27305.00,273.05,27305.00,27305.00,27881.00
Conversion Starts Since 1995 (Cumulative) ,13276.00,132.76,13276.00,13276.00,13276.00
New Development Starts Since 1995 (Cumulative) ,8376.00,83.76,8376.00,8376.00,8376.00
Future and Options Internship Participants (Cumulative),3365.00,33.65,3373.00,3429.00,3446.00
Technical Assistance Inquiries from Small Businesses (Cumulative) ,6459.00,64.59,6569.00,6670.00,6705.00
Bike Around Downtown (Cumulative),4615.00,46.15,7454.00,12612.00,20224.00
,,,,,
